CAN_ID,DLC,D0,D1,D2,D3,D4,D5,D6,D7,label
4708,8,0,37,0,128,0,81,3,20,Normal
5760,8,0,0,0,0,160,34,0,0,DoS
4232,8,597,0,0,0,255,212,8,0,Fuzzy
4707,8,569,56,54,176,220,176,205,11,Fuzzy
0,8,0,0,0,0,0,0,0,0,DoS
1672,5,273,597,0,7,61,0,0,0,Normal
825,8,0,51,16,255,0,255,0,0,DoS
1672,5,354,597,5,7,198,0,0,0,Normal
2057,8,544,384,127,20,17,32,0,20,DoS
1936,8,5,51,40,10,33,30,0,111,Fuzzy
4231,8,2,105,96,255,99,59,20,0,Normal
1175,8,8,0,0,0,0,0,0,0,Fuzzy
2176,8,0,50,0,0,0,0,0,0,Fuzzy
1175,8,8,0,0,0,0,0,0,0,DoS
772,8,22,296,0,255,22,128,10,179,DoS
4708,8,0,0,0,128,0,105,209,19,Fuzzy
1650,8,4,0,154,29,151,2,189,0,DoS
1796,8,32,0,0,0,0,0,0,0,Fuzzy
1175,8,0,259,0,0,0,0,0,0,Normal
1796,8,32,0,0,0,0,0,0,0,DoS
825,8,0,51,16,255,0,255,0,0,DoS
2,8,0,0,0,0,0,5,6,37,DoS
0,8,0,0,0,0,0,0,0,0,DoS
800,8,0,0,0,0,4,0,46,45,Fuzzy
1672,5,564,595,0,7,171,0,0,0,Normal
4708,8,0,0,0,128,0,105,209,19,DoS
0,8,0,0,0,0,0,0,0,0,DoS
1175,8,8,0,0,0,0,0,0,0,Fuzzy
0,8,0,0,0,0,0,0,0,0,DoS
2057,8,18,385,127,20,17,32,0,20,DoS
1544,8,37,52,34,48,8,142,112,21,DoS
825,8,0,51,16,255,0,255,0,0,DoS
1650,8,104,0,154,29,151,2,189,0,Fuzzy
2057,8,100,386,127,20,17,32,0,20,Fuzzy
1544,8,37,51,34,48,8,142,108,25,DoS
2120,8,5,50,116,104,118,0,0,79,DoS
5408,2,1,0,0,0,0,0,0,0,DoS
921,8,596,72,0,0,0,75,0,0,Normal
1796,8,32,0,0,0,0,0,0,0,DoS
2120,8,5,50,180,104,117,0,0,140,DoS
825,8,0,51,16,255,0,255,0,0,DoS
0,8,0,0,0,0,0,0,0,0,DoS
4232,8,597,0,0,0,255,199,8,0,Fuzzy
4232,8,597,0,0,0,255,134,9,0,Fuzzy
800,8,0,0,0,0,20,34,37,23,DoS
4232,8,597,3,16,0,255,196,12,19,Normal
5408,2,580,0,0,0,0,0,0,0,Normal
2,8,0,0,0,0,0,6,1,162,Normal
1650,8,54,0,155,29,151,2,189,0,Fuzzy
4210,8,0,0,0,0,0,0,0,0,DoS
1672,5,0,0,0,0,173,0,0,963,Fuzzy
2120,8,5,50,228,104,116,0,0,221,DoS
4937,8,534,137,0,139,0,0,0,0,Fuzzy
800,8,0,0,0,0,10,0,46,36,Fuzzy
1544,8,37,51,33,48,8,143,109,58,Fuzzy
921,8,596,71,0,0,0,76,0,0,Normal
4232,8,597,0,0,0,255,197,8,0,DoS
1672,5,148,0,0,7,132,0,0,0,Normal
1672,5,0,0,0,0,112,0,0,1188,Fuzzy
2057,8,18,388,127,20,17,32,0,20,DoS
772,8,388,295,0,255,236,127,11,125,Normal
1672,5,7,0,0,7,221,0,0,0,Normal
2176,8,0,51,0,0,0,0,0,0,Normal
1796,8,32,0,0,0,0,0,0,0,DoS
800,8,0,0,0,0,12,20,47,165,Fuzzy
1650,8,256,0,154,29,151,2,189,0,Fuzzy
2120,8,5,50,196,104,120,0,0,241,DoS
773,8,20,296,0,0,66,128,9,244,Normal
4232,8,597,3,18,0,255,147,14,56,Normal
2057,8,18,391,127,20,17,32,0,20,Fuzzy
4232,8,597,0,0,0,255,214,8,0,Fuzzy
1936,8,5,80,192,21,50,23,17,125,Normal
1175,8,0,292,0,0,0,0,0,0,Normal
2,8,0,0,0,0,0,3,11,17,Fuzzy
2057,8,308,388,127,20,17,32,0,20,DoS
4232,8,597,3,22,0,255,124,17,14,Normal
4210,8,0,0,0,0,0,0,0,0,Fuzzy
2,8,0,0,0,0,0,1,1,91,DoS
5984,8,98,372,172,134,144,221,176,27,Fuzzy
773,8,35,296,0,0,253,123,5,92,Normal
1544,8,37,52,34,48,8,142,111,38,Fuzzy
825,8,0,51,16,255,0,255,0,0,Fuzzy
921,8,596,134,0,0,0,60,0,0,DoS
4232,8,597,0,0,0,255,137,9,0,Fuzzy
772,8,23,296,0,255,34,128,5,123,Fuzzy
0,8,0,0,0,0,0,0,0,0,DoS
1936,8,5,34,196,18,22,23,28,123,Normal
4232,8,597,1,9,0,255,75,18,114,Normal
4232,8,597,3,17,0,255,153,13,23,Normal
4210,8,0,0,0,0,0,0,0,0,DoS
5671,8,535,275,93,141,95,209,202,138,Fuzzy
4937,8,534,0,0,127,0,0,0,0,Fuzzy
1650,8,4,0,154,29,151,2,189,0,Fuzzy
800,8,0,0,0,0,24,8,45,66,Normal
772,8,35,296,0,255,46,128,3,236,Fuzzy
4708,8,0,0,0,128,0,105,209,19,Fuzzy
1650,8,100,0,116,29,1,4,221,0,Normal
773,8,593,295,0,0,64,127,11,24,Fuzzy
4210,8,0,0,0,0,0,0,0,0,Normal
0,8,0,0,0,0,0,0,0,0,DoS
773,8,105,296,0,0,232,126,14,190,Normal
2,8,0,0,0,0,0,9,6,82,Fuzzy
0,8,0,0,0,0,0,0,0,0,DoS
800,8,0,0,0,0,2,32,35,220,Fuzzy
2057,8,100,400,127,20,17,32,0,20,Fuzzy
0,8,0,0,0,0,0,0,0,0,DoS
1175,8,0,292,25,128,1,24,112,1,Normal
352,8,145,304,44,10,0,31,2,0,DoS
352,8,146,306,104,9,0,31,2,0,DoS
2,8,0,0,0,0,0,3,13,95,Fuzzy
773,8,257,296,0,0,209,131,8,237,Normal
1796,8,32,0,0,0,0,0,0,0,Normal
4937,8,534,0,0,137,0,0,0,0,Fuzzy
800,8,0,0,0,0,14,51,40,121,Normal
1175,8,0,263,17,0,1,16,240,0,Normal
1672,5,597,295,0,0,107,0,0,160,Fuzzy
2,8,0,0,0,0,0,3,10,12,DoS
1544,8,81,98,74,48,255,143,126,21,Normal
0,8,0,0,0,0,0,0,0,0,DoS
4937,8,534,0,0,128,0,0,0,0,Fuzzy
1936,8,5,52,116,9,34,33,0,111,Fuzzy
0,8,0,0,0,0,0,0,0,0,DoS
4937,8,534,0,0,142,0,0,0,0,Normal
773,8,24,296,0,0,52,127,2,53,Fuzzy
4937,8,534,0,0,136,0,0,0,0,DoS
1936,8,5,37,248,16,25,29,30,122,Normal
2,8,0,0,0,0,0,1,8,174,Fuzzy
1796,8,32,0,0,0,0,0,0,0,Fuzzy
1672,5,357,597,0,7,128,0,0,0,Normal
773,8,583,295,0,0,44,127,11,249,Fuzzy
4231,8,0,100,96,255,126,216,8,0,Fuzzy
5408,2,1,0,0,0,0,0,0,0,Fuzzy
2176,8,0,50,0,0,0,0,0,0,DoS
4210,8,0,0,0,0,0,0,0,0,Normal
825,8,0,0,0,255,0,255,0,0,Normal
800,8,0,0,0,0,2,32,44,103,Normal
1796,8,32,0,0,0,0,0,0,0,Fuzzy
1936,8,5,53,112,9,35,33,0,110,Fuzzy
4937,8,534,0,0,133,0,0,0,0,Fuzzy
1650,8,256,0,154,29,151,2,189,0,Fuzzy
772,8,23,296,0,255,48,128,0,9,DoS
4231,8,9,105,96,255,105,99,7,0,Normal
5271,8,530,553,185,8,169,129,126,3,Fuzzy
2176,8,0,50,0,0,0,0,0,0,DoS
4609,8,65,57,39,35,0,0,0,154,DoS
921,8,596,145,0,0,0,65,0,0,Fuzzy
1796,8,32,0,0,0,0,0,0,0,Fuzzy
4232,8,597,1,14,0,111,190,26,124,Normal
1544,8,36,51,33,48,8,143,112,40,DoS
1796,8,32,0,0,0,0,0,0,0,Normal
4232,8,597,0,0,0,255,204,8,0,DoS
825,8,0,0,0,255,0,255,0,0,Normal
2176,8,0,50,0,0,0,0,0,0,DoS
1650,8,54,0,154,29,151,2,189,0,DoS
4937,8,534,0,0,142,0,0,0,0,Normal
921,8,596,73,0,0,0,60,0,0,Normal
4232,8,597,0,0,0,255,213,8,0,Fuzzy
1175,8,0,310,0,0,0,0,0,0,Normal
825,8,0,0,0,255,0,255,0,0,Normal
2120,8,5,64,4,105,107,0,0,43,Normal
825,8,0,51,16,255,0,255,0,0,Fuzzy
4937,8,534,0,0,141,0,0,0,0,Normal
4231,8,1,105,96,255,98,193,4,0,Normal
0,8,0,0,0,0,0,0,0,0,DoS
2057,8,18,388,127,20,17,32,0,20,Fuzzy
800,8,0,0,0,0,14,34,35,78,DoS
773,8,24,296,0,0,49,127,0,134,Fuzzy
4937,8,534,144,0,137,0,0,0,0,Fuzzy
4231,8,117,105,96,255,103,225,24,0,Normal
4231,8,19,105,96,255,104,193,24,0,Normal
1544,8,37,51,34,48,8,142,104,12,DoS
4937,8,534,0,0,136,0,0,0,0,DoS
2057,8,544,384,127,20,17,32,0,20,Fuzzy
773,8,0,296,0,0,61,127,3,168,DoS
1796,8,32,0,0,0,0,0,0,0,DoS
1544,8,98,100,62,48,255,144,83,63,Normal
1175,8,0,57,7,144,0,5,128,0,Normal
4708,8,0,0,0,128,0,104,209,19,Fuzzy
4937,8,534,145,0,138,0,0,0,0,Fuzzy
1936,8,5,38,28,16,26,27,22,124,Normal
800,8,0,0,0,0,2,32,44,103,DoS
2057,8,544,393,127,20,17,32,0,20,Fuzzy
2057,8,18,384,127,20,17,32,0,20,DoS
1796,8,32,0,0,0,0,0,0,0,Fuzzy
4708,8,0,0,0,128,0,105,209,19,DoS
0,8,0,0,0,0,0,0,0,0,DoS
2,8,0,0,0,0,0,7,0,243,DoS
772,8,585,295,0,255,40,128,3,241,Normal
825,8,0,0,0,255,0,255,0,0,Normal
4210,8,0,0,0,0,0,0,0,0,Fuzzy
773,8,20,296,0,0,75,127,11,12,DoS
1796,8,32,0,0,0,0,0,0,0,Fuzzy
2120,8,5,64,100,102,105,0,0,70,Normal
1796,8,32,0,0,0,0,0,0,0,DoS
772,8,277,296,0,255,17,127,8,20,Normal
921,8,596,147,0,0,0,60,0,0,DoS
1544,8,39,53,35,48,8,142,111,17,Fuzzy
1650,8,54,0,154,29,151,2,189,0,DoS
